keyType;keyHASH;anchorURL;anchorHASH;contentHASH;httpCode;hashMatches;validJSON;validJSONLD;extraInfo
keyHash;f6647e0931bebbeaa9b925173a499ffa494e3fedb50bd4473448f720;https://raw.githubusercontent.com/antoniohs/antoniohs/refs/heads/main/public/DonAntonioHS.jsonld;5b1c37d62cfa511310088e7405bf62d08c3238dd0d16ab2fb21569f4d7413eb5;5b1c37d62cfa511310088e7405bf62d08c3238dd0d16ab2fb21569f4d7413eb5;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;f67f79fd035e604ce98bc91c622e5c3b7a158045395973c6d86ffae7;-;-;;;;;;
keyHash;f6a165a04d2a118134b25820534d40fd0886b7a45c71554716beac1f;https://raw.githubusercontent.com/AnonymousDRep/AnonymousDRep/refs/heads/main/Anonymous.jsonld;64ade6e98b8e9bdab7921a9b56056919d4adff215b4506b10270e6d5e2f56ea1;64ade6e98b8e9bdab7921a9b56056919d4adff215b4506b10270e6d5e2f56ea1;200;YES;YES;YES;no authors in the authors-array
keyHash;f707dcf1ded0ae73dda459fb8d176eeadb012baaba2784ac4d009b01;-;-;;;;;;
keyHash;f893337a21444b9bbb4dea83a15e54aad7cf1938f60b37ec724a00cd;-;-;;;;;;
keyHash;f898a658bc7fca0edc5a1227bb119a250103fc5de5af05b9230352f2;https://thevikingpool.com/thor.jsonld;52220a6a07e3706a410d7766f6c25856d21aabdd434f5736dc5180892becc307;52220a6a07e3706a410d7766f6c25856d21aabdd434f5736dc5180892becc307;200;YES;YES;YES;no authors in the authors-array
keyHash;f8c873fbae90468758009bc0a35961aa5428e07263deb9e81fa047fc;-;-;;;;;;
keyHash;f8d68d00c75e66d7bddc341f94536871b321e387851da112cff7ab43;https://raw.githubusercontent.com/nagamarupanda/Drep/main/%E3%81%AA%E3%81%8C%E3%81%BE%E3%82%8B_SASA.jsonld;1849e78d2f032bbdc8561b936d78c66539f8b75b359a4fd4f4ac49da253ce71d;1849e78d2f032bbdc8561b936d78c66539f8b75b359a4fd4f4ac49da253ce71d;200;YES;YES;YES;no authors in the authors-array
keyHash;f94438f818559125ee240c5fa6fbed593a01f04caf3ee80d9cceb840;-;-;;;;;;
keyHash;f9aa817e8666da35de761af15119bd6ddd020b43168677ef2faf96f8;https://queenada.com/wp-content/uploads/2024/11/phillerino_drep.jsonld;60a165625337c6fbbec5f4097b045604201ef55173f9824f04a579bffb9d3731;60a165625337c6fbbec5f4097b045604201ef55173f9824f04a579bffb9d3731;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
